id,item_id,dept_id,store_id,state_id,d,sales,date,weekday,wday,month,year,event_name_1,dayofweek,weekofyear,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,has_event
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_40,0,2011-03-09,Wednesday,5,3,2011,LentStart,2,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_47,0,2011-03-16,Wednesday,5,3,2011,LentWeek2,2,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_48,0,2011-03-17,Thursday,6,3,2011,StPatricksDay,3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_51,0,2011-03-20,Sunday,2,3,2011,Purim End,6,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_86,0,2011-04-24,Sunday,2,4,2011,OrthodoxEaster,6,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_88,0,2011-04-26,Tuesday,4,4,2011,Pesach End,1,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_97,0,2011-05-05,Thursday,6,5,2011,Cinco De Mayo,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_100,0,2011-05-08,Sunday,2,5,2011,Mother's day,6,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_122,0,2011-05-30,Monday,3,5,2011,MemorialDay,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_123,0,2011-05-31,Tuesday,4,5,2011,NBAFinalsStart,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_135,0,2011-06-12,Sunday,2,6,2011,NBAFinalsEnd,6,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_142,0,2011-06-19,Sunday,2,6,2011,Father's day,6,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_157,0,2011-07-04,Monday,3,7,2011,IndependenceDay,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_185,0,2011-08-01,Monday,3,8,2011,Ramadan starts,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_215,0,2011-08-31,Wednesday,5,8,2011,Eid al-Fitr,2,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_220,0,2011-09-05,Monday,3,9,2011,LaborDay,0,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_255,51,2011-10-10,Monday,3,10,2011,ColumbusDay,0,41,0,146.0,51.0,106.0,0.0,113.42857142857143,47.370374507199976,111.0,51.87559082147325,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_276,132,2011-10-31,Monday,3,10,2011,Halloween,0,44,0,225.0,138.0,68.0,51.0,173.57142857142858,58.9656881665294,165.92857142857142,67.36178360249882,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_283,82,2011-11-07,Monday,3,11,2011,EidAlAdha,0,45,0,150.0,132.0,138.0,51.0,141.14285714285714,36.36128239134114,157.35714285714286,49.980930429448776,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_287,166,2011-11-11,Friday,7,11,2011,VeteransDay,4,45,0,146.0,120.0,134.0,105.0,128.42857142857142,28.23034503778474,149.07142857142858,49.81267105669192,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_300,180,2011-11-24,Thursday,6,11,2011,Thanksgiving,3,47,0,322.0,130.0,146.0,141.0,172.71428571428572,86.51727050270422,159.64285714285714,69.43132427952662,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_331,0,2011-12-25,Sunday,2,12,2011,Christmas,6,51,1,271.0,116.0,159.0,128.0,159.57142857142858,65.32191348201901,138.21428571428572,58.34536244365371,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_334,137,2011-12-28,Wednesday,5,12,2011,Chanukah End,2,52,0,70.0,145.0,118.0,120.0,142.57142857142858,90.16070308594746,132.78571428571428,63.959336326268286,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_338,56,2012-01-01,Sunday,2,1,2012,NewYear,6,52,1,206.0,0.0,116.0,143.0,124.71428571428571,74.89484692045302,142.14285714285714,69.89536921257827,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_344,121,2012-01-07,Saturday,1,1,2012,OrthodoxChristmas,5,1,1,103.0,206.0,271.0,174.0,92.85714285714286,55.450965039478966,113.42857142857143,74.53312560993814,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_353,83,2012-01-16,Monday,3,1,2012,MartinLutherKingDay,0,3,0,117.0,52.0,57.0,92.0,94.85714285714286,47.21026926220098,97.07142857142857,45.496346912885116,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_373,115,2012-02-05,Sunday,2,2,2012,SuperBowl,6,5,1,165.0,97.0,126.0,186.0,99.28571428571429,40.36382161339647,93.42857142857143,34.475664294853516,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_382,134,2012-02-14,Tuesday,4,2,2012,ValentinesDay,1,7,0,69.0,36.0,53.0,84.0,93.85714285714286,35.839589708535826,93.07142857142857,37.791867838534834,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_388,50,2012-02-20,Monday,3,2,2012,PresidentsDay,0,8,0,68.0,69.0,57.0,50.0,69.0,49.799598391954895,80.57142857142857,44.011736696397016,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_390,60,2012-02-22,Wednesday,5,2,2012,LentStart,2,8,0,148.0,117.0,133.0,79.0,68.28571428571429,53.62435480797345,88.07142857142857,45.853385556935464,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_397,99,2012-02-29,Wednesday,5,2,2012,LentWeek2,2,9,0,61.0,60.0,117.0,92.0,71.71428571428571,16.18347187425364,70.0,38.09502289316526,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_405,97,2012-03-08,Thursday,6,3,2012,Purim End,3,10,0,48.0,77.0,81.0,71.0,79.14285714285714,37.163730398640745,78.21428571428571,28.093740259322093,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_414,76,2012-03-17,Saturday,1,3,2012,StPatricksDay,5,11,1,62.0,133.0,133.0,84.0,70.42857142857143,34.82268007519013,77.78571428571429,35.39704153528318,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_436,104,2012-04-08,Sunday,2,4,2012,Easter,6,14,1,158.0,64.0,75.0,99.0,80.85714285714286,39.01464926335818,68.42857142857143,30.9036076701893,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_442,157,2012-04-14,Saturday,1,4,2012,Pesach End,5,15,1,67.0,158.0,70.0,76.0,67.0,48.538644398046344,67.64285714285714,35.447918769018884,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_443,85,2012-04-15,Sunday,2,4,2012,OrthodoxEaster,6,15,1,157.0,104.0,64.0,69.0,66.85714285714286,48.2266474452612,73.85714285714286,42.76385451227786,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_463,93,2012-05-05,Saturday,1,5,2012,Cinco De Mayo,5,18,1,66.0,111.0,95.0,158.0,75.0,27.067816067548993,74.42857142857143,26.897853176313546,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_471,96,2012-05-13,Sunday,2,5,2012,Mother's day,6,19,1,104.0,96.0,97.0,85.0,80.85714285714286,30.190663962162006,76.64285714285714,26.450555157347512,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_486,72,2012-05-28,Monday,3,5,2012,MemorialDay,0,22,0,91.0,52.0,50.0,64.0,68.42857142857143,20.337626400812955,73.14285714285714,25.028774649182804,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_501,53,2012-06-12,Tuesday,4,6,2012,NBAFinalsStart,1,24,0,88.0,48.0,27.0,62.0,91.28571428571429,30.477938937939374,76.64285714285714,30.52516526221815,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_506,87,2012-06-17,Sunday,2,6,2012,Father's day,6,24,1,104.0,132.0,65.0,79.0,91.85714285714286,34.0755463220013,84.78571428571429,30.321808783647842,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_510,0,2012-06-21,Thursday,6,6,2012,NBAFinalsEnd,3,25,0,19.0,63.0,63.0,72.0,69.0,43.17792645939973,79.42857142857143,37.64554174383507,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_523,116,2012-07-04,Wednesday,5,7,2012,IndependenceDay,2,27,0,104.0,72.0,19.0,80.0,96.0,37.63420430052073,77.78571428571429,48.169857430089834,1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_539,115,2012-07-20,Friday,7,7,2012,Ramadan starts,4,29,0,82.0,94.0,123.0,0.0,88.28571428571429,23.942391176281774,85.5,23.828715708315233,1
